"date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","ratified_name","network_parameter_id","network_id"
2012-01-01,2013-01-01,"amvl","North Lincs Amvale","pm25",NA,70991,3,0,0,NA,"annual_mean",NA,11,"AQE"
2011-01-01,2012-01-01,"bard","Stanton under Bardon","pm25",11.197638,74577,3,3,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"bard","Stanton under Bardon","pm25",NA,74577,3,0,0,NA,"annual_mean",NA,11,"AQE"
2010-01-01,2011-01-01,"bhil","S Cambs Bar Hill","pm25",11.016434,71587,3,3,112,"ugm-3 (BAM)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"bhil","S Cambs Bar Hill","pm25",6.95685,71587,3,3,112,"ugm-3 (BAM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"bhil","S Cambs Bar Hill","pm25",NA,71587,3,0,0,NA,"annual_mean",NA,11,"AQE"
2011-01-01,2012-01-01,"cam3","Cambridge Gonville Place","pm25",15.619681,74670,3,3,112,"ugm-3 (BAM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"cam3","Cambridge Gonville Place","pm25",16.946439,74670,3,3,112,"ugm-3 (BAM)","annual_mean","ratified",11,"AQE"
2010-01-01,2011-01-01,"cam4","Cambridge Newmarket Road","pm25",11.456218,73183,3,3,112,"ugm-3 (BAM)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"cam4","Cambridge Newmarket Road","pm25",8.448268,73183,3,3,112,"ugm-3 (BAM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"cam4","Cambridge Newmarket Road","pm25",13.128645,73183,3,3,112,"ugm-3 (BAM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"dawe","North Lincs Santon Dawes Lane","pm25",NA,71050,3,0,0,NA,"annual_mean",NA,11,"AQE"
2011-01-01,2012-01-01,"girt","Girton Road","pm25",8.025057,74671,3,1,112,"ugm-3 (BAM)","annual_mean","provisional",11,"AQE"
2012-01-01,2013-01-01,"girt","Girton Road","pm25",13.025113,74671,3,3,112,"ugm-3 (BAM)","annual_mean","ratified",11,"AQE"
2010-01-01,2011-01-01,"hil4","London Hillingdon Harmondsworth Os","pm25",7.285994,70422,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"hil4","London Hillingdon Harmondsworth Os","pm25",13.022706,70422,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"hil4","London Hillingdon Harmondsworth Os","pm25",5.334575,70422,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2010-01-01,2011-01-01,"lhr2","Heathrow LHR2","pm25",11.279886,70328,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"lhr2","Heathrow LHR2","pm25",11.386222,70328,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"lhr2","Heathrow LHR2","pm25",10.599008,70328,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"no11","Norwich Castle Meadow","pm25",10.532724,74052,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2010-01-01,2011-01-01,"no11","Norwich Castle Meadow","pm25",8.155608,74052,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"no11","Norwich Castle Meadow","pm25",NA,74052,3,0,0,NA,"annual_mean",NA,11,"AQE"
2012-01-01,2013-01-01,"sfer","North Lincs South Ferriby","pm25",NA,71059,3,0,0,NA,"annual_mean",NA,11,"AQE"
2010-01-01,2011-01-01,"slh5","Slough Lakeside 1 Osiris","pm25",9.160356,71565,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"slh5","Slough Lakeside 1 Osiris","pm25",12.292017,71565,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"slh5","Slough Lakeside 1 Osiris","pm25",10.337377,71565,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2010-01-01,2011-01-01,"slh6","Slough Colnbrook Osiris","pm25",6.898946,71559,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"slh6","Slough Colnbrook Osiris","pm25",10.936909,71559,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"slh6","Slough Colnbrook Osiris","pm25",8.92561,71559,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2010-01-01,2011-01-01,"slh9","Slough Lakeside 2 Osiris","pm25",5.536952,71579,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"slh9","Slough Lakeside 2 Osiris","pm25",10.023616,71579,3,3,117,"ugm-3 (Osiris)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"slh9","Slough Lakeside 2 Osiris","pm25",7.705451,71579,3,1,117,"ugm-3 (Osiris)","annual_mean","provisional",11,"AQE"
2012-01-01,2013-01-01,"stat","North Lincs Station Road","pm25",NA,71065,3,0,0,NA,"annual_mean",NA,11,"AQE"
2010-01-01,2011-01-01,"t54","Heathrow Oaks Road","pm25",10.608604,70339,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"t54","Heathrow Oaks Road","pm25",10.436665,70339,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"t54","Heathrow Oaks Road","pm25",9.749247,70339,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2010-01-01,2011-01-01,"t55","Heathrow Green Gates","pm25",9.902111,70319,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2011-01-01,2012-01-01,"t55","Heathrow Green Gates","pm25",10.181015,70319,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"t55","Heathrow Green Gates","pm25",9.876654,70319,3,3,111,"ugm-3 (TEOM)","annual_mean","ratified",11,"AQE"
2012-01-01,2013-01-01,"war","Warrington Selby St.","pm25",12.789009,74771,3,3,118,"ugm-3 (TEOM FDMS)","annual_mean","ratified",11,"AQE"
