"X","date","date_end","site","site_name","variable","value","unit_name","z_score","z_score_fail"
654,2015-07-10,"11/07/2015","bel2","Belfast Centre","v10",6.345833,"ugm-3 (TEOM FDMS)",3.57180575341916,FALSE
655,2015-07-11,"12/07/2015","bel2","Belfast Centre","v10",5.7375,"ugm-3 (TEOM FDMS)",3.27881517273934,FALSE
664,2015-07-20,"21/07/2015","bel2","Belfast Centre","v10",5.429167,"ugm-3 (TEOM FDMS)",3.29512984664421,FALSE
669,2015-07-25,"26/07/2015","bel2","Belfast Centre","v10",4.629167,"ugm-3 (TEOM FDMS)",3.0553368039463,FALSE
670,2015-07-26,"27/07/2015","bel2","Belfast Centre","v10",6.033333,"ugm-3 (TEOM FDMS)",3.20184233125733,FALSE
671,2015-07-27,"28/07/2015","bel2","Belfast Centre","v10",5.304167,"ugm-3 (TEOM FDMS)",3.86855547776797,FALSE
3383,2015-09-09,"10/09/2015","dery","Derry","v10",6.13913,"ugm-3 (TEOM FDMS)",3.20446529419111,FALSE
3503,2015-07-07,"08/07/2015","ea8","Ealing Horn Lane","v10",6.104167,"ugm-3 (TEOM FDMS)",3.20123867738091,FALSE
3511,2015-07-15,"16/07/2015","ea8","Ealing Horn Lane","v10",6.816667,"ugm-3 (TEOM FDMS)",3.50824135902042,FALSE
3516,2015-07-20,"21/07/2015","ea8","Ealing Horn Lane","v10",5.141667,"ugm-3 (TEOM FDMS)",3.01676711580479,FALSE
3518,2015-07-22,"23/07/2015","ea8","Ealing Horn Lane","v10",4.970833,"ugm-3 (TEOM FDMS)",3.28302275809584,FALSE
3519,2015-07-23,"24/07/2015","ea8","Ealing Horn Lane","v10",5.066667,"ugm-3 (TEOM FDMS)",3.12670902515236,FALSE
3522,2015-07-26,"27/07/2015","ea8","Ealing Horn Lane","v10",6.826087,"ugm-3 (TEOM FDMS)",4.00902396822492,FALSE
3523,2015-07-27,"28/07/2015","ea8","Ealing Horn Lane","v10",4.921739,"ugm-3 (TEOM FDMS)",3.50330609884497,FALSE
3524,2015-07-28,"29/07/2015","ea8","Ealing Horn Lane","v10",4.066667,"ugm-3 (TEOM FDMS)",3.04635763036819,FALSE
3527,2015-07-31,"01/08/2015","ea8","Ealing Horn Lane","v10",5.345833,"ugm-3 (TEOM FDMS)",3.40669441962448,FALSE
3604,2015-07-16,"17/07/2015","eb","Eastbourne","v10",7.0125,"ugm-3 (TEOM FDMS)",3.0078376047135,FALSE
3627,2015-08-08,"09/08/2015","eb","Eastbourne","v10",5.720833,"ugm-3 (TEOM FDMS)",3.40545708514962,FALSE
3660,2015-09-10,"11/09/2015","eb","Eastbourne","v10",7.533333,"ugm-3 (TEOM FDMS)",3.04725501705541,FALSE
5248,2015-07-04,"05/07/2015","hrl","London Harlington","v10",7.954167,"ugm-3 (TEOM FDMS)",3.10881018385377,FALSE
5947,2015-08-28,"29/08/2015","leam","Leamington Spa","v25",4.066667,"ugm-3 (TEOM FDMS)",3.58696068575303,FALSE
5948,2015-08-29,"30/08/2015","leam","Leamington Spa","v25",6.483333,"ugm-3 (TEOM FDMS)",4.65085823891902,FALSE
5949,2015-08-30,"31/08/2015","leam","Leamington Spa","v25",7.308333,"ugm-3 (TEOM FDMS)",3.68626839737277,FALSE
5950,2015-08-31,"01/09/2015","leam","Leamington Spa","v25",7.6875,"ugm-3 (TEOM FDMS)",4.47828596849641,FALSE
5951,2015-09-01,"02/09/2015","leam","Leamington Spa","v25",7.329167,"ugm-3 (TEOM FDMS)",4.90620432569851,FALSE
5952,2015-09-02,"03/09/2015","leam","Leamington Spa","v25",7.008333,"ugm-3 (TEOM FDMS)",4.54453868672171,FALSE
5953,2015-09-03,"04/09/2015","leam","Leamington Spa","v25",6.2125,"ugm-3 (TEOM FDMS)",4.70085506610174,FALSE
5954,2015-09-04,"05/09/2015","leam","Leamington Spa","v25",6.3125,"ugm-3 (TEOM FDMS)",5.06832137121647,FALSE
5955,2015-09-05,"06/09/2015","leam","Leamington Spa","v25",5.6875,"ugm-3 (TEOM FDMS)",4.60545163391016,FALSE
5956,2015-09-06,"07/09/2015","leam","Leamington Spa","v25",5.995833,"ugm-3 (TEOM FDMS)",4.4061323899044,FALSE
5957,2015-09-07,"08/09/2015","leam","Leamington Spa","v25",6.975,"ugm-3 (TEOM FDMS)",4.9354854205967,FALSE
5958,2015-09-08,"09/09/2015","leam","Leamington Spa","v25",7.808333,"ugm-3 (TEOM FDMS)",3.97033335373363,FALSE
5959,2015-09-09,"10/09/2015","leam","Leamington Spa","v25",6.4625,"ugm-3 (TEOM FDMS)",3.49639322361629,FALSE
5960,2015-09-10,"11/09/2015","leam","Leamington Spa","v25",8.133333,"ugm-3 (TEOM FDMS)",3.5125522498707,FALSE
5961,2015-09-11,"12/09/2015","leam","Leamington Spa","v25",8.6625,"ugm-3 (TEOM FDMS)",3.72473646607773,FALSE
5962,2015-09-12,"13/09/2015","leam","Leamington Spa","v25",8.829167,"ugm-3 (TEOM FDMS)",3.57394243599334,FALSE
5963,2015-09-13,"14/09/2015","leam","Leamington Spa","v25",6.904167,"ugm-3 (TEOM FDMS)",4.56871655636691,FALSE
6058,2015-09-16,"17/09/2015","lear","Leamington Spa Rugby Road","v25",5.625,"ugm-3 (TEOM FDMS)",3.30362033503625,FALSE
6860,2015-08-21,"22/08/2015","lon6","London Eltham","v25",4.9,"ugm-3 (TEOM FDMS)",3.12348253139388,FALSE
7781,2015-08-22,"23/08/2015","no12","Norwich Lakenfields","v25",7.304167,"ugm-3 (TEOM FDMS)",3.94627456734939,FALSE
7900,2015-09-18,"19/09/2015","no12","Norwich Lakenfields","v10",4.466667,"ugm-3 (TEOM FDMS)",3.33818839467535,FALSE
7903,2015-09-21,"22/09/2015","no12","Norwich Lakenfields","v10",9.595833,"ugm-3 (TEOM FDMS)",4.64374613796163,FALSE
7904,2015-09-22,"23/09/2015","no12","Norwich Lakenfields","v10",6.466667,"ugm-3 (TEOM FDMS)",4.97524275416039,FALSE
7905,2015-09-23,"24/09/2015","no12","Norwich Lakenfields","v10",4.7375,"ugm-3 (TEOM FDMS)",4.20852083395459,FALSE
7906,2015-09-24,"25/09/2015","no12","Norwich Lakenfields","v10",5.441667,"ugm-3 (TEOM FDMS)",4.74596646974556,FALSE
7907,2015-09-25,"26/09/2015","no12","Norwich Lakenfields","v10",5.4625,"ugm-3 (TEOM FDMS)",4.42135333654663,FALSE
7908,2015-09-26,"27/09/2015","no12","Norwich Lakenfields","v10",5.895833,"ugm-3 (TEOM FDMS)",4.33687171010676,FALSE
7909,2015-09-27,"28/09/2015","no12","Norwich Lakenfields","v10",5.233333,"ugm-3 (TEOM FDMS)",3.23252905171873,FALSE
9348,2015-08-25,"26/08/2015","rea1","Reading New Town","v10",-1.5875,"ugm-3 (TEOM FDMS)",-3.47956594107937,FALSE
10753,2015-09-19,"20/09/2015","stok","Stoke-on-Trent Centre","v25",7.895833,"ugm-3 (TEOM FDMS)",3.49045568496337,FALSE
