date,abd_v10,abd_v25,acth_v10,acth_v25,agrn_v25,arm6_v10,bel2_v10,bel2_v25,bex_v25,bir1_v10,bir1_v25,birt_v10,birt_v25,blc2_v25,bple_v10,bple_v25,brs8_v10,brs8_v25,burw_v10,ca1_v10,ca1_v25,card_v10,card_v25,carl_v10,carl_v25,chat_v10,chat_v25,chlg_v10,chlg_v25,chp_v10,chp_v25,chs7_v10,chs7_v25,cll2_v10,cll2_v25,coal_v25,dery_v10,dery_v25,ea8_v10,eb_v10,eb_v25,eccl_v10,eccl_v25,ed3_v10,ed3_v25,ghsr_v10,ghsr_v25,glkp_v10,glkp_v25,gran_v10,gran_v25,har_v10,har_v25,hg1_v25,hope_v10,hope_v25,hr3_v25,hrl_v10,hrl_v25,hul2_v25,hulr_v10,kc1_v10,kc1_v25,leam_v10,leam_v25,lear_v10,lear_v25,lecu_v25,led6_v10,led6_v25,leed_v10,leed_v25,leir_v10,ln_v10,lon6_v25,lvp_v10,lvp_v25,man3_v25,mid_v10,mid_v25,my1_v10,my1_v25,newc_v10,newc_v25,no12_v10,no12_v25,nott_v10,nott_v25,npt3_v10,npt3_v25,ox8_v10,ox8_v25,pemb_v10,plym_v10,plym_v25,pmth_v10,pmth_v25,pres_v25,pt4_v10,pt4_v25,rea1_v10,rea1_v25,roch_v10,roch_v25,sash_v10,sash_v25,scn2_v10,sdy_v10,sdy_v25,send_v25,shdg_v10,shdg_v25,sk5_v10,sout_v10,sout_v25,stkr_v10,stok_v25,stor_v10,stor_v25,sun2_v25,ted2_v25,thur_v10,tran_v25,war_v10,war_v25,wig5_v25,yk10_v10,yk10_v25,yk11_v10,yk11_v25
01/07/2015,3.558333,7.116667,5.695833,0.878261,3.845833,1.791667,5.458333,3.5875,4.5625,NA,NA,1.641667,2.75,1.65,4.570833,2.966667,2.608333,2.279167,3.183333,1.3875,0.991304,2.179167,2.320833,4.395833,2.4875,3.283333,2.725,3.720833,1.529167,1.1,2.670833,3.141667,2.4,NA,NA,3.533333,2.6,1.9,3.904348,NA,NA,1.9875,1.7875,NA,2.258333,4.116667,0.991667,NA,2.666667,NA,6.4125,7.320833,3.445833,3.283333,7.495833,2.029167,3.195833,6.126087,4.45,NA,NA,4.170833,1.158333,4.6125,5.116667,3.341667,4.258333,2.766667,NA,NA,NA,NA,NA,NA,NA,3.041667,2.5625,2.241667,4.466667,4.7625,2.7,2.145833,NA,NA,4.479167,4.3,4.516667,NA,1.75,1.716667,2.054167,2.2125,NA,3.15,NA,1.225,NA,3.016667,2.895833,1.958333,NA,0.3125,NA,NA,NA,2.258333,4.321739,2.191667,1.625,3.225,5.0125,3.216667,4.316667,1.045833,0.7875,3.221739,3.695833,NA,NA,NA,NA,5.85,3.591667,NA,NA,2.229167,NA,NA,NA,NA
02/07/2015,2.722727,2.657895,3.258333,0.169565,3,-0.720833,3.941667,2.9,4.3125,NA,NA,-0.041667,1.904167,0.3,4.3875,1.875,1.720833,2.054167,3.095833,0.45,1.158333,1.9625,0.775,3.754167,1.883333,2.916667,2.341667,3.125,1.066667,1.408333,3.05,2.991667,1.1875,NA,NA,1.569565,1.741667,0.991667,6.6875,NA,NA,1.620833,0.775,NA,1.695833,3.591667,1.458333,NA,2.2875,NA,5,6.1,3.152174,2.479167,4.954167,0.077273,3.304167,5.733333,4.2625,NA,NA,4.458333,1.370833,3.408333,3.929167,2.041667,3.404167,1.775,NA,NA,NA,NA,NA,-0.491667,NA,2.108333,1.983333,2.466667,3.404167,3.020833,1.658333,1.066667,NA,NA,3.766667,3.7375,3.116667,NA,1.375,1.670833,1.785714,2.05,NA,2.4875,1.654167,NA,NA,2.575,2.404167,0.7625,NA,NA,NA,NA,NA,0.933333,2.15,1.366667,1.25,1.708333,4.316667,2.1125,3.791667,2.570833,1.975,1.833333,3.025,NA,NA,NA,NA,6.666667,2.7,NA,NA,1.475,NA,NA,NA,NA
03/07/2015,1.5125,1.008333,2.8,0.2375,4.425,-0.575,4.583333,3.075,4.545833,NA,NA,1.329167,2.85,0.970833,3.958333,2.491667,2.754167,3.091667,3.020833,1.0125,1.704167,2.833333,2.391667,2.854167,2.1375,3.9625,2.983333,2.054167,1.166667,2.308333,3.529167,2.816667,1.7375,NA,NA,3.2375,NA,NA,4.3625,NA,NA,2.45,1.8,NA,1.516667,3.7125,1.716667,NA,1.3375,NA,3.5375,5.204167,2.4875,3.170833,5.175,0.504762,3.625,5.633333,4.245833,NA,NA,4.25,2.054167,4.1375,4.404167,2.8125,4.370833,3.179167,NA,NA,NA,NA,NA,1.754167,NA,2.204167,2.3375,2.2125,2.7625,2.229167,1.7125,2.025,NA,NA,4.758333,4.604167,3.841667,NA,2.045833,2.145833,2.458333,1.929167,NA,4.366667,2.970833,NA,NA,3.675,3.345833,1.516667,NA,NA,4.163158,NA,NA,2.929167,3.133333,1.008333,1.691667,2.683333,4.129167,2.804167,3.23913,1.845833,2.183333,2.991667,3.491667,NA,NA,NA,NA,5.017391,2.041667,3.7,2.191667,2.958333,NA,NA,NA,NA
04/07/2015,2.433333,1.8125,3.766667,0.652632,3.920833,-0.095833,3.458333,2.6375,6.166667,NA,NA,1.541667,2.8,1.1125,3.7125,1.870833,2.691667,2.5625,2.670833,3.658333,2.720833,2.529167,1.329167,2.983333,1.954167,5.366667,3.55,3,2.259091,2.025,3.341667,3.470833,2.491667,NA,NA,2.920833,NA,1.233333,7.433333,NA,NA,2.4375,1.475,NA,1.3875,3.2625,1.879167,NA,1.8,NA,NA,5.7,3.0875,4.9,6.616667,1.595833,4.016667,7.954167,6.4875,NA,NA,6.758333,3.591667,4.791304,4.208696,3.45,4.095833,3.620833,NA,NA,NA,NA,NA,1.473913,6.333333,2.5875,2.0625,1.333333,3.879167,3.254167,3.6,3.979167,NA,NA,5.433333,4.904167,3.633333,NA,1.8375,1.508333,1.725,2.670833,NA,3.633333,1.979167,NA,2.695833,3.329167,2.275,0.870833,NA,1.572727,4.358333,2.383333,NA,1.654167,3.454167,2.65,2.4875,2.945833,4.779167,3.333333,4.195833,2.779167,1.1625,2.358333,3.2625,NA,NA,NA,NA,5.7625,1.695833,2.920833,1.420833,1.679167,NA,NA,NA,NA
05/07/2015,2.266667,2.666667,2.241667,0.258333,3.204167,-0.5875,3.820833,2.508333,4.166667,NA,NA,0.604167,2.341667,1.066667,3.579167,2.316667,2.458333,2.9,2.75,0.865217,0.686957,2.604167,1.6375,3.513636,1.691304,2.808333,2.229167,2.366667,1.366667,1.654167,2.695833,2.4,1.691667,NA,NA,2.8,NA,1.1,4.682609,NA,NA,2.108333,1.479167,NA,1.3875,2.3875,1.825,NA,1.554167,NA,NA,4.4125,1.945833,2.55,3.775,0.133333,3.270833,4.7625,3.558333,NA,NA,3.979167,1.173913,3.1875,3.945833,2.079167,2.804167,2.2875,NA,NA,NA,NA,NA,1.108333,3.254167,1.6625,1.975,1.604167,3.370833,2.75,2.295833,1.216667,NA,NA,4.6875,4.583333,3.333333,NA,1.666667,1.6125,1.825,2.358333,NA,4.0125,2.166667,NA,3.104167,3.521739,3.025,1.604167,NA,0.520833,3.404167,1.221739,NA,2.175,2.4375,0.979167,1.695833,1.534783,3.45,2.0625,3.886957,1.725,1.429167,1.333333,3.008333,NA,NA,1.591667,NA,2.858333,1.554167,3.1625,1.391667,1.875,NA,NA,NA,NA
06/07/2015,2.075,2.291667,2.2375,0.059091,3.579167,0.083333,4.766667,2.820833,4.1375,NA,NA,0.570833,1.866667,0.895833,5.05,2.454167,2.279167,2.783333,3.0125,1.233333,1.5625,2.508333,1.475,3.0875,1.6,2.895833,2.333333,1.9625,1.295833,NA,NA,2.079167,1.445833,NA,NA,2.504167,NA,2.43913,4.070833,NA,NA,2.204167,1.25,NA,1.1375,4.120833,2.577273,NA,1.775,NA,NA,3.4875,1.804167,2.891667,3.45,0.741667,2.895833,4.508333,3.6125,NA,NA,4,1.691667,3.408333,3.775,1.891667,3.295833,2.658333,NA,NA,NA,NA,NA,-0.141667,3.779167,1.791667,2.254167,1.525,2.95,2.508333,2.279167,1.895833,NA,NA,3.120833,3.258333,2.770833,NA,1.920833,2.133333,1.879167,1.441667,NA,3.870833,2.695833,NA,2.595833,3.308333,3.6,1.179167,NA,0.525,3.566667,1.375,NA,NA,NA,NA,NA,1.95,3.675,1.804167,1.028571,1.5375,1.433333,2.283333,2.030435,NA,NA,1.4,NA,3.2625,NA,3.154167,1.725,1.820833,NA,NA,NA,NA
07/07/2015,2.395833,2.845833,2.591667,0.125,3.779167,-0.654167,4.195833,2.56087,4.2375,NA,NA,0.7625,2.158333,0.379167,4.183333,2.095833,2.5,2.525,3.45,0.916667,1.095833,3.1875,1.504167,3.225,1.620833,2.3875,3.05,2.65,1.383333,NA,NA,2.6125,1.4,NA,NA,2.691667,1.475,0.895833,6.104167,NA,NA,1.883333,1.154167,NA,1.270833,3.491667,1.9125,NA,1.358333,NA,3.3875,3.654167,2.533333,2.654167,3.408333,0.633333,3.0625,4.7625,3.254167,NA,NA,4.226087,1.320833,3.466667,4.216667,2.633333,3.375,2.775,0.75,2.45,NA,3.025,NA,NA,3.079167,NA,NA,1.083333,3.96087,3.2375,2.391667,1.6375,NA,NA,4.554167,4.070833,3.170833,NA,2.079167,1.416667,2.475,2.308333,NA,3.508333,1.95,1.354167,2.45,3.1875,3.070833,1.391667,NA,0.925,2.491667,0.970833,NA,NA,NA,NA,NA,1.9125,3.8,1.879167,1.642857,2.216667,1.283333,2.3,2.583333,NA,NA,1.75,NA,2.645833,NA,3.141667,1.579167,1.908333,1.2125,2.491667,2.283333,4.154167
08/07/2015,-0.183333,0.191667,1.365,-0.419048,1.933333,-2.116667,3.925,1.6625,2.895833,NA,NA,-0.933333,0.608333,-0.3625,3.6125,1.354167,1.054167,1.575,1.3875,-0.095833,-0.065217,1.058333,0.216667,NA,NA,1.233333,1.7125,0.842105,0.105263,0.278261,1.665217,0.858333,0.058333,NA,NA,1.208333,0.65,0.129167,3.683333,2.041667,2.279167,0.395833,0.225,NA,-0.075,2.470833,0.795833,NA,-0.016667,NA,1.395833,2.88,0.843478,1.3875,2.679167,-0.670833,1.983333,3.675,2.254167,-0.2375,-0.966667,3,0.170833,1.9,2.856522,0.941667,2.2625,0.979167,-1.2125,1.1125,NA,1.254167,NA,NA,2.05,NA,NA,0.195833,1.433333,0.7,0.43913,-0.004167,NA,NA,2.354167,2.229167,1.729167,NA,0.833333,0.416667,1.279167,1.120833,NA,2.116667,1.158333,0.1875,1.1875,2.354167,0.879167,-0.204167,NA,-0.204167,1.670833,0.254167,NA,NA,NA,NA,NA,0.65,2.116667,1.070833,1.329167,1.216667,0.5625,0.520833,1.154167,0.416667,1.375,-0.1625,1.816667,1.6875,NA,NA,NA,0.258333,-0.195833,1.079167,0.429167,NA
09/07/2015,0.675,0.708333,1.133333,0.170833,2.7125,-0.833333,3.8625,2.65,2.979167,NA,NA,-0.408333,1.408333,NA,4.0125,1.941667,1.9375,2.158333,2.283333,0.829167,0.404167,2.420833,1.033333,NA,NA,1.758333,1.641667,1.6375,0.445833,1.179167,2.45,1.508333,0.85,NA,NA,1.4875,1.5875,1.991667,1.3,2.491667,2.491667,NA,NA,NA,0.679167,2.875,0.683333,NA,0.141667,NA,1.966667,3.254167,1.166667,1.85,2.354167,-0.070833,2.404167,3.673913,2.554167,0.65,-0.345833,2.479167,0.4875,1.920833,2.608333,1.641667,3.245833,1.745833,-0.341667,1.429167,NA,2.182609,NA,0.266667,2.108333,NA,NA,0.3625,2.341667,1.775,0.91,-0.195833,NA,NA,NA,NA,2.033333,NA,1.3125,1.0625,1.775,1.208333,NA,3.108333,2.116667,1.166667,1.95,2.3,2.9125,1.483333,-0.945833,0.220833,2.579167,0.104167,NA,NA,NA,NA,NA,0.779167,2.641667,1.166667,0.617391,0.658333,0.345833,1.2375,1.6625,1.354167,0.745833,0.620833,1.9,2.183333,NA,NA,NA,0.466667,0.783333,2.154167,0.933333,NA
10/07/2015,2.279167,2.1375,2.316667,1.033333,3.633333,0.413043,6.345833,3.995833,4.179167,NA,NA,0.841667,2.3625,NA,4.25,2.75,2.8625,2.625,NA,1.382609,1.141667,3.516667,2.75,NA,NA,3.458333,2.95,2.933333,1.829167,2.045833,3.545833,2.995833,2.270833,NA,NA,2.8,2.0375,1.4875,3.445833,4.245833,3.804167,NA,NA,NA,1.445833,3.245833,1.804167,NA,1.8875,NA,2.625,3.766667,2.708333,2.6875,3.870833,1.1,3.341667,5.073684,3.45,2.4125,1.029167,3.425,1.6875,3.333333,4.908333,2.770833,4.225,2.841667,1.075,3.158333,NA,2.941667,NA,1.541667,3.158333,NA,NA,1.154167,2.85,2.316667,1.879167,1.254167,NA,NA,NA,NA,3.591667,NA,2.508333,1.85,2.533333,2.708333,NA,4.008333,3.033333,2.420833,2.8,1.6125,3.420833,1.979167,0.0875,1.466667,2.945833,1.6375,NA,NA,NA,NA,NA,2.316667,3.545833,2.179167,2.716667,2.083333,1.975,2.941667,3.445833,2.4375,2.75,1.320833,3.245833,3.279167,NA,NA,NA,2.183333,1.908333,3.070833,2.891667,NA
11/07/2015,1.941667,2.008333,2.308333,0.970833,2.579167,-0.345833,5.7375,3.654167,3.820833,NA,NA,0.333333,1.116667,NA,3.666667,2.029167,1.9625,1.904167,NA,0.679167,0.941667,2.166667,1.670833,NA,NA,2.770833,2.470833,1.891667,1.033333,1.4875,3.066667,2.091667,1.0875,NA,NA,2.358333,1.875,1.495833,4.086957,3.3875,2.65,NA,NA,NA,1.004167,4.195833,1.758333,NA,1.658333,NA,2.866667,3.35,1.583333,2.791667,4.4,1.304167,2.429167,4.3375,2.904167,1.345833,0.7875,3.533333,0.916667,2.65,3.291667,1.891667,2.783333,1.9625,0.395652,2.108333,NA,2.520833,NA,0.020833,2.816667,NA,NA,1.120833,3.108333,2.354167,1.45,0.6375,NA,NA,NA,NA,2.716667,NA,1.829167,1.220833,1.629167,1.529167,NA,3.466667,2.008333,1.0375,1.5875,1.820833,2.370833,1.125,-0.916667,-0.104167,3.816667,2.0125,NA,NA,1.791667,NA,NA,2.741667,3.279167,1.8875,2.204167,0.866667,1.241667,1.829167,2.508333,1.725,1.491667,1.279167,2.895652,3.904167,0.841667,NA,NA,1.5375,1.170833,3.075,2.170833,NA
12/07/2015,1.075,1.4,1.258333,-0.391667,3.3375,-1.279167,5.0625,3.1625,4.208333,NA,NA,0.525,1.520833,NA,4.583333,2.295833,1.833333,2.204167,NA,1.229167,1.191667,1.670833,1.15,NA,NA,2.733333,2.708333,1.8,1.133333,1.391667,2.354167,2.070833,0.920833,NA,NA,2.304167,1.025,0.954167,5.26087,3.425,3.220833,NA,NA,NA,1.191667,2.508333,1.420833,NA,0.841667,NA,2.320833,3.354167,1.6125,3.029167,4.116667,-0.129167,3.291667,4.808333,3.3,1.5,0.4125,3.3375,1.091667,3.404348,3.670833,1.708333,2.604167,2.3375,0.73913,1.991667,NA,2.133333,NA,-0.204167,2.608333,NA,NA,0.85,2.3375,1.670833,1.395833,0.708333,NA,NA,NA,NA,3.1125,NA,1.554167,1.5125,1.791667,2.655,NA,3.775,2.233333,1.4125,2.191667,0.954167,3.7875,1.866667,0.254167,0.470833,2.933333,1.716667,NA,NA,1.4875,NA,NA,1.533333,2.958333,1.791667,2.058333,0.870833,1.1375,1.8375,2.104167,2.320833,1.579167,0.7375,3.308333,3.0375,0.5625,NA,NA,1.3375,1.225,2.591667,2.175,NA
13/07/2015,NA,NA,0.908333,-0.234783,3.5625,-0.654167,5.320833,3.2875,4.541667,NA,NA,0.304167,1.720833,NA,4.25,2.4375,2.283333,2.354167,NA,1.1375,1.05,2.5625,1.566667,NA,NA,2.720833,2.716667,2.1,1.2375,1.804167,3.033333,2.283333,1.733333,NA,NA,1.85,1.5625,0.85,5.4125,4.125,2.983333,NA,NA,NA,0.404167,2.658333,1.216667,NA,1.558333,NA,2.370833,NA,NA,2.795833,3.825,-0.479167,3.329167,5.191667,3.716667,1.8,0.333333,3.891667,1.6,2.929167,3.929167,2.25,3.333333,0.65,1.509091,2.295,NA,2.570833,NA,-0.145833,2.933333,NA,NA,0.908333,2.95,2.291667,1.616667,1.108333,NA,NA,NA,NA,2.733333,NA,1.758333,1.604167,1.783333,1.991667,NA,3.0375,2.229167,1.616667,2.195833,1.616667,4.054167,2.033333,0.158333,0.55,3.175,1.654167,NA,NA,1.78,NA,NA,1.6125,3.1875,1.775,2.4625,1.73,1.255,1.879167,1.866667,2.641667,1.654167,1.4375,2.620833,3.220833,0.775,NA,NA,NA,1.3,2.3625,2.2125,NA
14/07/2015,NA,NA,1.291667,-0.395833,4.133333,-0.666667,4.595833,2.758333,3.754167,NA,NA,0.9875,2.508333,-0.615789,4.395833,1.804167,1.958333,1.716667,NA,0.533333,0.508333,2.1625,1.4,NA,NA,2.6125,2.245833,1.945833,1.329167,1.625,2.895833,2.320833,0.825,NA,NA,2.1125,1.704167,0.883333,5.516667,3.9125,2.8625,1.470833,0.404167,NA,1.054167,NA,NA,NA,0.633333,NA,2.679167,NA,NA,2.133333,3.575,-0.470833,2.991667,4.579167,3.666667,3.154167,2.008333,2.9375,0.679167,3.066667,3.954167,2,2.975,1.475,1.408333,2.383333,NA,NA,NA,-0.041667,2.06087,-0.386957,0.770833,NA,4.316667,3.470833,NA,0.125,NA,NA,1.5875,2.458333,2.841667,NA,1.716667,1.220833,1.633333,1.633333,NA,3.029167,2.058333,1.266667,1.8125,0.866667,3.45,1.625,-0.383333,0.229167,2.825,0.958333,2.634783,1.220833,2.429167,NA,1.158333,1.2625,3.125,1.683333,2.204167,1.25,1.070833,2.841667,3.495833,2.438889,1.766667,1.295833,2.191667,2.654167,0.316667,NA,NA,NA,1.528571,2.4,NA,NA
15/07/2015,NA,NA,1.05,-0.25,3.3125,-1.079167,4.020833,2.5375,4.6875,NA,NA,0.88,1.966667,NA,3.770833,1.895833,2.695833,2.2375,NA,1.3875,1.570833,3.454167,2.058333,NA,NA,2.829167,2.566667,1.804167,0.954167,1.970833,2.691667,1.779167,0.966667,NA,NA,2.979167,1.9,0.983333,6.816667,4.2375,2.666667,1.3875,0.7625,NA,0.916667,NA,NA,NA,NA,NA,1.941667,NA,NA,2.9375,4.295833,0.426316,3.366667,5.458333,3.683333,2.291667,1.729167,NA,NA,4.2875,4.454167,2.858333,4.116667,1.541667,1.2,1.516667,NA,NA,NA,0.508333,2.35,-0.379167,0.558333,NA,3.4,2.404167,NA,1.154167,NA,NA,3.508333,4.966667,3.258333,NA,2.045833,1.391667,2.7125,2.3125,NA,3.4875,2.179167,1.479167,2.225,1.183333,3.616667,1.8875,0.1625,0.5375,2.5375,0.691304,2.954167,1.820833,1.745833,NA,2.129167,1.783333,3.116667,1.275,3.591667,2.383333,1.441667,1.6375,2.266667,1.925,1.975,1.308333,3.179167,3.1625,-0.008333,1.291667,0.7625,NA,1.179167,0.929167,1.578261,1.379167
16/07/2015,NA,NA,2.6,0.616667,4.941667,1.658333,6.9625,4.808333,4.8875,NA,NA,1.320833,2.45,NA,4.675,3.245833,3.454167,3.6375,NA,3.116667,2.9,3.3125,2.4625,3.9375,1.629167,5.170833,4.070833,3.0875,2.170833,3.191667,4.0875,3.15,2.208333,NA,NA,3.591667,3.333333,3.05,5.9875,7.0125,6.1375,2.820833,1.679167,NA,1.720833,NA,NA,NA,NA,NA,3.1125,NA,NA,3.858333,4.883333,2.283333,4.633333,6.241667,5.1125,1.895833,1.045833,NA,NA,4.213043,4.466667,3.420833,4.9375,2.504167,2.620833,3.404167,NA,NA,NA,1.845833,NA,1.604167,2.2875,NA,3.691667,3.179167,NA,2.483333,NA,NA,2.579167,3.75,3.941667,NA,2.795833,2.5625,3.229167,2.908333,NA,4.633333,3.166667,2.683333,2.875,2.625,3.725,2.354167,1.241667,1.8875,4.233333,2.4375,4.1375,3.025,2.608333,NA,NA,2.741667,4.283333,2.645833,4.358333,1.9,2.583333,2.783333,2.779167,3.091667,3.0875,1.5125,3.670833,4.745833,1.9,3.033333,2.0125,NA,2.404167,1.475,2.754167,2.2875
17/07/2015,2.531818,1.675,1.9625,0.641667,3.225,-1.0625,5.683333,3.3125,3.9375,NA,NA,0.7875,1.7625,0.695833,3.954167,1.333333,2.108333,2.316667,2.466667,0.895833,0.625,3.291667,1.829167,3.545833,1.6875,3.370833,2.208333,2.083333,1.404167,1.608333,3.320833,2.3875,1.8375,NA,NA,2.554167,1.770833,0.7,5.2,4.525,2.9625,1.754167,1.2,NA,1.7,NA,NA,NA,NA,NA,3.341667,3.970833,2.179167,2.779167,3.420833,0.9125,3.416667,5.283333,3.8625,2.266667,1.729167,NA,NA,3.795833,4.070833,2.6,3.229167,1.808333,2.225,2.920833,2.078261,3.420833,NA,0.441667,NA,0.579167,1.0875,NA,3.708333,3.441667,1.966667,1.041667,NA,NA,3.295833,4.179167,2.9875,NA,2.1625,1.383333,2.204167,2.066667,NA,2.820833,1.333333,2.404167,2.433333,1.779167,2.704167,1.054167,0.704167,0.75,2.808333,0.725,2.691667,0.925,3.141667,NA,1.245833,1.529167,3.85,1.995833,2.291667,2.729167,1.283333,1.913043,2.266667,1.754167,2.145833,1.541667,3.231818,3.070833,0.5,2.070833,1.1875,NA,2.320833,1.845833,3.429167,2.133333
18/07/2015,0.541667,0.138095,0.547826,-0.404348,2.9875,-0.3875,4.470833,2.783333,3.904167,NA,NA,0.125,1.5375,0.008333,4.708333,2.354167,2.0625,2.6125,1.4,0.779167,0.55,2.754167,1.920833,2.958333,0.508333,2.204167,2.366667,1.895833,1.3,2.004167,2.9625,2.158333,1.2875,NA,NA,2.245833,1.95,1.154167,4.358333,3.179167,2.766667,1.4375,0.516667,NA,0.545833,1.578261,1.108333,NA,0.520833,NA,1.533333,3.004167,1.4,2.683333,3.320833,0.8125,3.383333,4.070833,3.291667,1.295833,0.495833,1.85,1.1875,3.1375,2.954167,2.0125,3.195833,1.6,0.795833,1.566667,0.683333,1.983333,NA,0.586957,NA,0.241667,0.95,NA,2.033333,1.65,2.004167,0.965217,NA,NA,1.329167,2.6875,2.395833,NA,1.829167,1.345833,1.8625,1.641667,NA,3.233333,2.320833,2.195833,2.316667,1.1375,3.641667,1.8375,0.225,0.5125,2.613043,0.517391,2.666667,2.075,1.158333,NA,1.3875,1.370833,3.133333,1.616667,1.85,1.7375,1.470833,1.233333,1.6875,1.558333,1.591667,0.108333,2.7,2.95,0.308333,1.533333,0.695833,NA,0.945833,0.470833,1.916667,0.416667
